DEME NO.,TYPE OF MACHINE,NATURE OF DEFECT, DATE
G6-32306,KILORATIO DEBUGGING,ELECTRICAL,06/04/26
WO 31478,HORNING,NOT READABLE,07/04/26
WO 27629,WELDING TRANSFORMER,ELECTRICAL NOT WORKING,08/04/26
WO 32439,PORTABLE WASHING PLANT,NOT WORKING,08/04/26
WO 32333,AIR COMPRESSOR,LOW VOLTAGE,08/04/26
WO 2240321,AIR COMPRESSOR,LOW VOLTAGE,08/04/26
WO-NYA,SEWING MACHINE,MECHANICAL ERROR,09/04/26
WO 31504,HYDRAULIC PRESSURE,MECHANICAL(LEAKAGE),15/04/26
WO 32598,TEST BED21,CALLIBERATION AND SERVICES,17/04/26
WO 32307,TEST BED22,CALLIBERATION AND SERVICES,20/04/26
WO-NYA,SUMMER COOLER,FAN NOT WORKING,23/04/26
WO 31301,TEST BED10,MECHANICAL,23/04/26
WO-NYA,SUMMER COOLER,SERVICE,24/04/26
WO-NYA,AC WIND PIPE,SERVICE AND COMPRESSOR NOT WORKING,27/04/26 
WO-NYA,GASLET,ELECTRICAL,28/04/26
WO-NYA,AIR CONDITIONER,CENTRALISED COOLING NOT WORKING,29/04/26
WO 32307,TEST BED20,LOARING NOT WORKING,30/04/26
WO 28304,LATHE,MECHANICAL,07/05/26
WO 32533,ULTRA SONIC CLEANING,NOT READABLE,07/05/26
WO-NYA 8905014,NOT READABLE, MECHANICAL INCOVINIENCE,09/05/26
WO 32599,F/P HAMPAL,AIR COMPRESSOR PROBLEM,12/05/26
WO 32384,FORK LIFTER,SERVICE,15/05/26
WO-NYA,FLOOR CLEANER,SERVICE,15/05/26
WO-NYA,GARDO PLANT TANK,ELECTRICAL,18/05/26
WO-NYA,SUMMER COOLER TATRA,WATER PUMP NOT WORKING,15/05/26
WO-B- 951057,VALVE PREFACE,BELT BREAKING,15/05/26
WO 32306,VIBRATORY DEBUGGING,ELECTRICAL,18/05/26
WO-NYA,WINDOW AC,COOLING NOT WORKING,21/05/26
WO-NYA,WINDOW AC,COOLING NOT WORKING,21/05/26
WO-NYA,TANK COOLER ASSY,WATER PUMP NOT WORKING,23/05/26
WO-NYA,SUMMER COOLER TATRA ASSY,WATER TANK LEAKAGE,23/05/26
WO-32307,TEST BED 20,FOOT WALL NOT WORKING,26/05/26
WO 32598,TEST BED22,FOOT WALL NOT WORKING,26/05/26
WO-32421,HIGH PRESSURE WASHING PLANT,ELECTRICAL AND MECHANICAL ISSUE,26/05/26
